Dividend,Divisor,Quotient
8,1,8
18,2,9
25,5,5
20,5,4
14,7,2
20,5,4
12,4,3
18,2,9
40,5,8
25,5,5
42,7,6
20,5,4
7,7,1
45,5,9
12,2,6
1,1,1
72,8,9
12,3,4
8,1,8
72,8,9
72,8,9
7,1,7
72,9,8
81,9,9
35,7,5
42,6,7
24,4,6
16,4,4
4,4,1
56,7,8
56,8,7
49,7,7
4,2,2
72,9,8
56,8,7
16,4,4
56,7,8
20,4,5
12,6,2
18,3,6
56,8,7
18,3,6
45,5,9
6,3,2
10,2,5
14,2,7
24,8,3
4,2,2
1,1,1
16,4,4
18,6,3
32,4,8
4,4,1
30,6,5
8,8,1
36,6,6
56,7,8
56,8,7
54,6,9
1,1,1
7,1,7
72,9,8
36,9,4
8,2,4
15,3,5
45,9,5
18,3,6
8,2,4
6,6,1
10,2,5
30,6,5
40,5,8
16,2,8
7,1,7
24,8,3
2,2,1
24,4,6
4,1,4
16,8,2
32,8,4
81,9,9
12,4,3
42,6,7
12,6,2
40,5,8
20,4,5
24,8,3
2,2,1
8,8,1
16,2,8
54,9,6
24,3,8
8,2,4
81,9,9
2,1,2
9,3,3
18,3,6
10,5,2
16,8,2
12,4,3
